wage,educ,exper,looks,gender,union,goodhlth,black,married,south,citysize,service
5.73000001907349,14,30,4,F,0,1,0,1,0,SmallCity,1
4.28000020980835,12,28,3,F,0,1,0,1,1,SmallCity,0
7.96000003814697,10,35,4,F,0,1,0,0,0,SmallCity,0
11.5699996948242,16,38,3,M,0,1,0,1,0,BigCity,1
11.4200000762939,16,27,3,M,0,1,0,1,0,SmallCity,0
3.91000008583069,12,20,3,F,0,0,0,1,0,BigCity,0
8.76000022888184,16,12,3,M,0,1,0,1,0,BigCity,0
7.69000005722046,16,5,4,M,1,1,0,0,0,SmallCity,0
5,16,5,3,F,0,1,0,0,0,MedCity,0
3.89000010490417,12,12,3,F,0,1,0,0,0,SmallCity,0
3.45000004768372,12,3,4,F,0,1,0,0,0,BigCity,0
4.03000020980835,16,6,4,M,0,1,0,1,0,SmallCity,0
5.1399998664856,17,19,2,M,0,1,0,1,0,SmallCity,1
3,16,8,3,M,0,1,0,0,0,SmallCity,1
7.98999977111816,16,12,4,M,0,1,0,1,0,MedCity,0
6.01000022888184,16,17,4,M,0,1,0,1,0,SmallCity,0
5.15999984741211,17,7,3,M,0,1,0,1,0,MedCity,0
11.539999961853,17,12,4,M,0,1,0,1,1,SmallCity,1
10.4399995803833,17,10,4,F,0,1,0,0,0,BigCity,0
7.69000005722046,16,7,3,F,0,1,0,1,0,MedCity,1
7.69000005722046,17,7,4,M,1,1,0,0,0,SmallCity,0
6.78999996185303,14,19,3,M,0,1,0,1,0,SmallCity,1
6.86999988555908,12,33,3,M,0,1,0,1,0,BigCity,1
17.0300006866455,13,32,3,M,0,1,0,1,0,BigCity,0
10.0500001907349,13,12,4,M,0,1,0,1,0,BigCity,0
15.8100004196167,17,24,4,M,0,1,0,1,1,SmallCity,1
14.8400001525879,13,29,5,M,0,1,0,0,1,BigCity,1
19.0799999237061,17,17,5,M,0,1,0,0,0,BigCity,0
8.35000038146973,16,41,1,M,0,0,0,1,1,BigCity,1
9.61999988555908,16,40,3,M,0,0,0,1,0,SmallCity,0
5.96000003814697,14,10,3,M,0,1,0,1,0,SmallCity,0
5.73000001907349,10,43,3,M,0,0,0,1,0,SmallCity,0
